label,text,clean_text_adv
neg,#UberIceCream was super! But we didnt get the glares :( @Uber_Pune,ubericecream super didnt get glare uberpune
pos,"@TheSYLEPress @SciFiNow Great! I regret not getting a signed copy of #DeathOfGrass. John added ""thanks for loan of the lawnmower"" :-)",thesylepress scifinow great regret get sign copy deathofgrass john add thanks loan lawnmower
pos,"@Clareyh Yeah, it's a classy look :-). I've seen people attached to all sorts of 'life saving' equipment, some in beds,having their fix :-0)",clareyh yeah classy look see people attach sort life save equipment bedshaving fix 0
neg,Bale :(,bale
pos,@moonlight69 well you're in for a wild ride &gt;:D,moonlight69 well wild ride gtd
neg,"“@shakyra_cledera: ""paper town"" :--((((” sm :(((",shakyracledera paper town sm
neg,My poor noggin! Bumped it a few days ago and it still hurts a little. :( #feelslikeanidiot,poor noggin bump day ago still hurt little feelslikeanidiot
pos,@OfficialKeanu..Awesome! :),officialkeanuawesome
pos,@lucahollic good and you ? :),lucahollic good
neg,IM LISTENING TO EVERYTHING ABOUT YOU :((,im listen everything
neg,Good Lord. :( https://t.co/nC9LkYUUvO,good lord
neg,@matty_lam @SkyFootball I'm not watching because I'm working :( but I'm not interested in man city anyway 😂 hope they lose,mattylam skyfootball watch work interested man city anyway 😂 hope lose
pos,Thanks to everyone who came to the stream :D Hope you guys enjoyed. Night all!,thanks everyone come stream hope guy enjoy night
pos,@MusicMetrop @LostInMuzic @karenak @MosesMo @chrisdrunkpoets thanks for the shout out guys much appreciated :),musicmetrop lostinmuzic karenak mosesmo chrisdrunkpoets thanks shout guys much appreciate
neg,"@dargurl_serwiee Ok rich kid, I give up :(",dargurlserwiee ok rich kid give
neg,HP LOW DONG :((((((,hp low dong
pos,Off to the USA! Rosh and I on our travels again :) (@ Glasgow International Airport (GLA) - @gla_airport) https://t.co/FS71kc8FZe,usa rosh travel glasgow international airport gla glaairport
pos,@RookieSenpai @arcadester it is the id conflict thanks for the help :D here's the screenshot of it working,rookiesenpai arcadester id conflict thanks help here screenshot work
neg,no more of being 'high all the time' :((((((((((( this is v sad,high time v sad
pos,@Real_Liam_Payne :))) and zayn :))),realliampayne zayn
pos,@Nkour34Dil you're always welcome dear. .   :-) Good afternoon. ..:-),nkour34dil always welcome dear good afternoon
pos,@AlexCarranza21 I'm so sorry! I ran out with a friend after having a rough day. I'll try to stream on Saturday! :),alexcarranza21 sorry run friend rough day try stream saturday
pos,@TheLuckyHand @neonblaze72 Back in 80s I wz pattern cutting/making &amp; buttonhole finishing 4my designer friend's famous clients :),theluckyhand neonblaze72 back 80 wz pattern cuttingmaking amp buttonhole finish 4my designer friend famous client
pos,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @maphisa301,hello get youth job opportunity follow gtgt tolajobjobs maphisa301
pos,@fouraroundworld thanks for sharing! Wishing you a wicked weekend :),fouraroundworld thanks share wish wicked weekend
pos,@DirtyJasen I shall do :D I shall shout it from the roof tops of social media :p,dirtyjasen shall shall shout roof top social medium p
neg,"@horan_lyra done, please me :(",horanlyra do please
pos,"@Derek_GTA Hi Derek, you could try using ParkShare in Gloucestershire http://t.co/qIF9AyAlkc :)",derekgta hi derek could try use parkshare gloucestershire
pos,"@ashleylynch @wetsprocket Ah, found it, thanks :)",ashleylynch wetsprocket ah find thanks
pos,Good morning! And happy Friday! :-) Thought I'd quickly say hello while my little pebble is engrossed in Bing... http://t.co/u73W4nOsjt,good morning happy friday think would quickly say hello little pebble engross bing
pos,@97sides CONGRATS :),97sides congrats
pos,i'm going to sleep. i hope i wake up with a follow from luke hemmings someday :) goodnight fam ily and 5sos a lot 💟 http://t.co/YX0hTS3lXT,go sleep hope wake follow luke hemmings someday goodnight fam ily 5sos lot 💟
neg,no one wants to go to ant man with me :(,one want go ant man
neg,Can i cry for real coz the bandana s so cute to match for my dress.:((,cry real coz bandana cute match dress
pos,just prettier :) and mine :),prettier mine
pos,@jet_cer  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),jetcer follow jnlazts amp follow u back
neg,"Cant stand seeing my titos and titas cry :((((((( please pray for my cousin, he's in critical condition right now :(",cant stand see tito titas cry please pray cousin critical condition right
neg,@camnstyles it is so confusing tho :(,camnstyles confuse tho
neg,&lt;3 &lt;3 awsme song &lt;3 :-* :-( :-( :'( http://t.co/IjVWwO32eO,lt3 lt3 awsme song lt3
neg,"@Jime_JB21 FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",jimejb21 follow thanks justinbieber please follow
pos,duh emesh :p https://t.co/FtiAVocFll,duh emesh p
pos,@chelsea_acker WHOOP WHOOP! :-) #quacketyquack http://t.co/Or9w6eqCiM,chelseaacker whoop whoop quacketyquack
neg,assignments :(,assignment
neg,2 people are dead :((((((,2 people dead
neg,That one person. Is still very important to me...and I don't want her gone any longer...yet I just sit here scared out of my mind. :(...,one person still important meand want go longeryet sit scar mind
neg,@annayeng sorna :((((,annayeng sorna
neg,@shabanadas @FatimaAli52 emotions make us human :(,shabanadas fatimaali52 emotion make u human
neg,@ColorsTV  this time jhalak is very boring. .. The concept is bakwas. .. old concept was much better and interesting. ... :-(:-(:-(,colorstv time jhalak bore concept bakwas old concept much well interest
neg,@mustntgrumble I hadn't thought of an icepack. Big doses of pain killers on board. But it is feeling very very painful already :( *whimpers*,mustntgrumble think icepack big dos pain killer board feel painful already whimper
pos,@RolfeW Thanks for the follow back! :),rolfew thanks follow back
pos,mum's home.... HAHAHHAAH thank you lord :),mum home hahahhaah thank lord
pos,"tessnzach//
cute account :)!!!",tessnzach cute account
pos,@JYGClub thanks admin :),jygclub thanks admin
neg,i miss u bigtime!!!... :(,miss u bigtime
pos,@wishm4ster it says my bday :))))),wishm4ster say bday
pos,@drewharley67 @GerardButler You're so right about that! :-),drewharley67 gerardbutler right
neg,i lost my 3.4k :(,lose 34k
neg,@irlfaker all nighter :(,irlfaker nighter
neg,my bro choose takraw over me :(,bro choose takraw
pos,@MrsManfyDiston Thanks for following! Do get in touch if you'd like any more info about our project: youth@bipolaruk.org.uk :),mrsmanfydiston thanks follow get touch would like info project youthbipolarukorguk
pos,I AM SO SORRY FUCKING ERIC THINKS HES FUNNY :),sorry fuck eric think he funny
pos,@Komal_Indian @SocialitePanda #ब doesn't matter. Jungle can accommodate both :-),komalindian socialitepanda ब matter jungle accommodate
pos,Home from vacation!:),home vacation
pos,"Leggete qui per la chat Larry :)
-Mar http://t.co/gEj5b3qPqS",leggete qui per la chat larry mar
pos,#FF to @TashaFairybro @dorkfaceblog @BeckyBedbug @SaidByAlisha @_OliviaJadexo @UnderToWonder @fineanddandy &lt;3 these ladies! :),ff tashafairybro dorkfaceblog beckybedbug saidbyalisha oliviajadexo undertowonder fineanddandy lt3 lady
pos,I have not been this happy for such a long time :),happy long time
neg,@lightmytorch I'm not there anymore!! Would have signed if I saw you! :( thank you for coming,lightmytorch anymore would sign saw thank come
pos,"@AtushaAvarus..Yes, we all do sometimes. It will pass :)",atushaavarusyes sometimes pass
neg,@98_madhvi_tommo  it apparently isnt :(,98madhvitommo apparently isnt
pos,@Inugamikun Wub Cerbchan? :D,inugamikun wub cerbchan
neg,Help God :(,help god
neg,This rain :(,rain
pos,.@kitchtablepro here's that selfie Tara! Thanks again for another great event . . . #HappyFriday #ff :) http://t.co/a4zUxwEsV7,kitchtablepro here selfie tara thanks another great event happyfriday ff
pos,@KingCuh happy birthday bro :) have a good one,kingcuh happy birthday bro good one
pos,Feel free to share with others.  :-) http://t.co/c2W7znBQ0P,feel free share others
neg,"If anybody around Penrith/Emu Plains sees her (she's giant and hard to miss) please let me know
Very important :( http://t.co/zQh19Rl1t2",anybody around penrithemu plain see giant hard miss please let know important
neg,@diegxdelrey is this on ur computer? mine did it too :(,diegxdelrey ur computer mine
pos,wow luxord looks really amazing here in his new kingdom hearts 3 promo art !! :) http://t.co/FFJU1rlJpC,wow luxord look really amazing new kingdom heart 3 promo art
neg,I hate how they didn't have their first win yet :((,hate first win yet
neg,"@Lill_Hippie FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",lillhippie follow thanks justinbieber please follow
neg,@beamiller I can't listen to your new album on youtube because it's blocked in my country :(,beamiller listen new album youtube block country
neg,we lost at the album and broadcast :((((,lose album broadcast
neg,@junghoseoks 5s :( i think it's bc im running out of space tbh,junghoseoks 5 think bc im run space tbh
pos,@bjoernknafla @s_whiteant that’s EXACTLY the look I’m going for :D,bjoernknafla swhiteant exactly look go
neg,@jehyop is there any other way for me to get the bandana?:((,jehyop way get bandana
pos,"Common - Celebrate, never fails to get me in a good mood :)",common celebrate never fail get good mood
pos,@amy14_x @AstonMerrygold will do :D it's mainly my mother who wants it right now haha the others can wait they said 😂 x,amy14x astonmerrygold mainly mother want right haha others wait say 😂 x
pos,"Unreal training boys!
Awesome work Zaine, Zac and Isaac! :)
Oss! http://t.co/jisayDDWve",unreal training boys awesome work zaine zac isaac os
neg,"@joinerslive did you by any chance find a black guinness wallet in the venue last night after the show? Lost my wallet :( :( :(
Thank you!",joinerslive chance find black guinness wallet venue last night show lose wallet thank
pos,@Miss_Dyna_Mite yaaaaayyyyyy you are my best friendaaaaaaa *shouts like minions* :),missdynamite yaaaaayyyyyy best friendaaaaaaa shout like minion
pos,Yeeeeah ! :D …,yeeeeah
neg,@b_lurryface i wish it was london :( gonna stay at the airport for a bit and then go into the city,blurryface wish london gon na stay airport bit go city
neg,So hard to find an organisation that we're satisfied with :(,hard find organisation satisfy
pos,@_ridabot let's talk about setokido :D,ridabot let u talk setokido
neg,@bdunkelman doin ok? :(,bdunkelman doin ok
pos,20 ghanton se light nahi :)))))),20 ghanton se light nahi
pos,"@spreecoza Awesome, thanks so much for helping me :)",spreecoza awesome thanks much help
pos,"@lovingjeonboram I really like their interaction. How Sunny offers her help to her dongsaeng, Chorong. And the friendship among idols. :)",lovingjeonboram really like interaction sunny offer help dongsaeng chorong friendship among idol
pos,@steer_michael Dare you to run in the corridor :-),steermichael dare run corridor
neg,@beckparsons1 no im on a 24 hour sleep on sunday :( xx,beckparsons1 im 24 hour sleep sunday xx
pos,"Who does the cheapest printing in the world? Looking for a regular printer in countries close to NZ or Ireland, or drop ship printers :)",cheap printing world look regular printer country close nz ireland drop ship printer
pos,@ShutUpBrickLP if only there was uhc in a box on a large scale on one of those network servers :p,shutupbricklp uhc box large scale one network server p
neg,@valentinalmao @mgchalsey ahh im sorry i didnt reply back :( i miss you too!! also i wouldve tweeted u on that acc but ive been having,valentinalmao mgchalsey ahh im sorry didnt reply back miss also wouldve tweet u acc ive
pos,"It is funny, that the next anime that had it, was Umaru :D",funny next anime umaru
neg,@goodissachuntin Smh I know :(,goodissachuntin smh know
pos,"@readcreatelove Great to hear you had such a nice day, thanks for visiting :)",readcreatelove great hear nice day thanks visit
pos,@shraddhaa9 btw will you remember... :),shraddhaa9 btw remember
neg,72 and counting.  :( http://t.co/9xWKegCy6W,72 counting
neg,"@DADDYNAMJ00N @bbydesu No~ I mean, that @bbydesu hmm, omg Im so slow :(",daddynamj00n bbydesu mean bbydesu hmm omg im slow
neg,Tbh me too but they now busy wth their concert schedule :( aisyhhh https://t.co/16pOubmvlX,tbh busy wth concert schedule aisyhhh
pos,Thank you for the retweets @pbfurnitureltd and @Alipink27 :),thank retweets pbfurnitureltd alipink27
pos,@spencerlist Yay another vine I love it. PLEASE can you do more vines?With peyton too :),spencerlist yay another vine love please vineswith peyton
pos,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-),vespera9 moirae nbhdmadi akpayne15 caitiiiii tiffanymichels spend half hour total
pos,Stats for the day have arrived. 2 new followers and NO unfollowers :) via http://t.co/e644DJI0zw.,stats day arrive 2 new follower unfollowers via
pos,@virtuallykaren cool - thanks for thinking of me - hope all is well :-),virtuallykaren cool thanks think hope well
neg,I want IHOP :(,want ihop
pos,@hesfallenangel could i get some free solo  dms? Any to give away? :) xoxo,hesfallenangel could get free solo dm give away xoxo
neg,@muhammadskates :( that's a long time,muhammadskates long time
neg,im so tired! :(,im tire
neg,@thefreejinn @Blush_Channel deleicious food followed by sound 8 hrs. sleep for which i never get time :(,thefreejinn blushchannel deleicious food follow sound 8 hr sleep never get time
neg,And it's not easy to be me :(,easy
pos,"Congrats again Joselito &amp; Freya for the ""nth"" time :) #latepost lupet mo Eric! http://t.co/2DtLrSnvB1",congrats joselito amp freya nth time latepost lupet mo eric
neg,"The last dick pic I got was awful. It ruined walnut whips for me for life :-( 

I also named him and it turned out his wife followed me.",last dick pic get awful ruin walnut whip life also name turned wife follow
neg,@charliebudd @painterspitstop @HarriDec @1paintology6 @KingsDecor @FreshDecorators Wrong password/recall thingy not working is the prob :-(,charliebudd painterspitstop harridec 1paintology6 kingsdecor freshdecorators wrong passwordrecall thingy work prob
pos,@tangerinebean Has A got out of bed yet? :-),tangerinebean get bed yet
pos,"Dry, hot, scorching summer #FF :) @infocffm @MediationMK @ExeterMediation @KentFMS @EssexMediation",dry hot scorch summer ff infocffm mediationmk exetermediation kentfms essexmediation
pos,@Shovz92 @Meli_bytes Sorted :D Santorini here we come #Escape,shovz92 melibytes sort santorini come escape
pos,@laurentzwalker @BoykinsD1 I love being mixed :-),laurentzwalker boykinsd1 love mix
pos,i was literally just about to give up and just get general tickets but i tried one more time and i finally got m&amp;g :-),literally give get general ticket try one time finally get mampg
neg,naeun :( body goals :(,naeun body goal
neg,@tiaramescudi girl that was so quick too :(,tiaramescudi girl quick
pos,I THINK THIS IS FROM THEIR FIFTH ALBUM IM :) OKAY :) FUCK :) https://t.co/qzT5Zsm8RE,think fifth album im okay fuck
pos,@HanMaiCrazyHoon Belated .. Thanks Thanks !! :D,hanmaicrazyhoon belated thanks thanks
pos,"I'm playing Brain Dots : ) #BrainDots
http://t.co/5Z4aDMu7tx http://t.co/qhhOGhM97S",play brain dot braindots
neg,Civ 5 just crashed in the middle of a marathon game... :(,civ 5 crash middle marathon game
neg,@WeeklyChris  Hello! ... :(,weeklychris hello
pos,#PSYGustoKita good afternoon :),psygustokita good afternoon
pos,PauseTime is always nice :-),pausetime always nice
neg,@Vitality_Watson why do you do this when Im in work :(,vitalitywatson im work
pos,"The sun may not be shining here, but at least its nearly the weekend!!! Happy Friday People :-) http://t.co/T1x9Cl7NE8",sun may shin least nearly weekend happy friday people
neg,My chicsirific heart :(,chicsirific heart
neg,I'm not ready to work yet :(,ready work yet
pos,Check out our new @NeonArenas Van outside the Olympic Park for @uk_sport Anniversary Games!!! :) http://t.co/6QRbnfXZG7,check new neonarenas van outside olympic park uksport anniversary game
pos,@annisast okay. Thank you mak ∗lega∗ :)),annisast okay thank mak ∗lega∗
pos,Sweet :) https://t.co/025WcVvnxe,sweet
pos,Contact us today and we'll get you out of the city into a 'hotbed' in a bush somewhere :) #ClassicAssures,contact u today get city hotbed bush somewhere classicassures
neg,I miss Chris ' voice :(,miss chris voice
neg,ughh i got nothing but pain :(,ughh get nothing pain
pos,There :) is :) a :) pimple :) on :) my :) forehead :) the :) size :) of :) a :) volcano :),pimple forehead size volcano
neg,Hateeeee time apart :(,hateeeee time apart
neg,Last day on the beach :-(:-(:-(.... http://t.co/oqo9F7FQs9,last day beach
pos,@Jesutomisin I hear you guys want Arbeloa. :D,jesutomisin hear guy want arbeloa
neg,@SweetieBiebs baby &gt; boyfriend &gt; bitch??? I don't know how to complete it :(,sweetiebiebs baby gt boyfriend gt bitch know complete
pos,"@rich_bartram29 Oh, didn't know :) But yes, you can have an order delivered to your work address, once it's added to your address book ^AC",richbartram29 oh know yes order deliver work address add address book ac
pos,@UNAPCTT Thanks for adding us to your list! :) Make sure to keep in touch for more news of our light bulbs made from corn waste.,unapctt thanks add u list make sure keep touch news light bulb make corn waste
pos,"@vtothepowerof2 you're actually going?!? :D yayayayay
It's gonna be my first YT convention too &lt;3",vtothepowerof2 actually go yayayayay gon na first yt convention lt3
neg,When the bus is late and you have no time to get food before work :(,bus late time get food work
pos,@OJBJ @holmesjsamuel surely this could be your warmup this morning ??? Coming on 15th to Bath :) xx,ojbj holmesjsamuel surely could warmup morning come 15th bath xx
neg,@Vequafied I'm bored :(,vequafied bore
neg,@fionnlim my leg is white :-(,fionnlim leg white
pos,5SOS Calum5SOS Luke5SOS Ashton5SOS Hey guys! PLEASE follow ✧｡ Chelny ｡✧ :),5sos calum5sos luke5sos ashton5sos hey guy please follow ✧。 chelny 。✧
pos,Sweet tooth! :) http://t.co/47xACbrmCc #retweet #icecream #food,sweet tooth retweet icecream food
pos,Thanks for following @Leila_Errachiq &amp; @AndreaGaillet : Great to connect !! :),thanks follow leilaerrachiq amp andreagaillet great connect
pos,@hinanRana WIP. Let me get a few things tweaked and I'll link you up :) Max kal tak.,hinanrana wip let get thing tweak link max kal tak
neg,"I miss Matt and he's coming home 14 days before I do, so I don't know if he's going to be there when I get back :((",miss matt come home 14 day know go get back
pos,Thanks for the follows @rosbailey2_ros @CircuitElec :),thanks follow rosbailey2ros circuitelec
neg,"@ncilla so thát's what i've been doing wrong :(
a powerpoint presentation with expectations before, during and after diner is no-no either?",ncilla wrong powerpoint presentation expectation diner nono either
pos,"@lindseyasuer Hi! I see u like FourFiveSeconds and think u might like ""Deaf Ears"" https://t.co/nO9B1b1vtN .Plz let me know what u think :)",lindseyasuer hi see u like fourfiveseconds think u might like deaf ear plz let know u think
neg,"@princesswhut FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",princesswhut follow thanks justinbieber please follow
pos,@concertina226 Haha that's great :),concertina226 haha great
neg,@sasshoseok did u get called by tp law? :(,sasshoseok u get call tp law
pos,"@salty_tamaki Ty :D I love it too :D Used to be my background, till they removed backgrounds :&lt;",saltytamaki ty love use background till remove background lt
pos,@corics24 @Ginebrakings Lol! Read the article first. :),corics24 ginebrakings lol read article first
neg,@chrisisk @uberuk nothing in Shepherds Bush either :( I want ice cream,chrisisk uberuk nothing shepherd bush either want ice cream
neg,@bahadirylmz @59saniye my friends fatma'm :(,bahadirylmz 59saniye friend fatmam
pos,"""@fireddestiny21: #PSYGustoKita I'm a huge fan of Latin beauties :-) and QUEEN KATH is the ASIAN Latin version :-) http://t.co/gYBoDpALTi""",fireddestiny21 psygustokita huge fan latin beauty queen kath asian latin version
neg,"♛♛♛
》》》》 
I LOVE YOU SO MUCH.
I BELİEVE THAT HE WİLL FOLLOW.
PLEASE FOLLOW ME PLEASE JUSTİN @justinbieber :( x15.341
》》》》ＳＥＥ ＭＥ
♛♛♛",♛♛♛ 》》》》 love much believe follow please follow please justin justinbieber x15341 》》》》see ♛♛♛
pos,Happy burfday to me :D,happy burfday
neg,remember was #2 on gaon and bad was #6 but infnt are eligible and apink are not :(((( acube why'd u do this,remember 2 gaon bad 6 infnt eligible apink acube whyd u
neg,@ICTheatre So sad I didn't manage to get tickets :-(,ictheatre sad manage get ticket
neg,"Llama, are u sick? :( pls take care of urself #GetWellSoonAmber @llama_ajol",llama u sick pls take care urself getwellsoonamber llamaajol
neg,My face is so skinny in that picture omg :( why did i get fAt,face skinny picture omg get fat
pos,"@donnaledesma_ from PHL to Abu Dhabi, with love and blessing hihihi. :) #TeamJanuaryCLaims100 #GoDonna http://t.co/ayIMB6aITD",donnaledesma phl abu dhabi love bless hihihi teamjanuaryclaims100 godonna
pos,http://t.co/GYecoPRjXm bring you :) Boatbound Brings Luxury Yachting To The Masses - http://t.co/QaIPTxrUKm #tech /via @BuzzFeed,bring boatbound bring luxury yacht mass tech via buzzfeed
neg,"@Craig_J_Hastie @MassDeception1 uniting oppressed masses can take forever :( look wat happened n afghanistn,war tore it &amp; it ended n s**t.",craigjhastie massdeception1 unite oppressed mass take forever look wat happen n afghanistnwar tore amp end n st
pos,@RyanGage Yeah ! Nothing can stop the King of France :D Have a nice day !,ryangage yeah nothing stop king france nice day
neg,its not the same. :(((((,
neg,@EMPERYtech supposedly one of the worst kernels for any device :(,emperytech supposedly one bad kernel device
pos,@Myninaaa @_kyle__86 thank you :) 💕,myninaaa kyle86 thank 💕
neg,Why on earth did I assume it wouldn't rain in London? Most likely influenced by overall warm and dry past weeks in continental Europe :(,earth assume would rain london likely influence overall warm dry past week continental europe
neg,@deefizzy :-( poor boy,deefizzy poor boy
neg,My house scary AF at night :(,house scary af night
neg,"@lizardbeth_16 Oh my, what's happenend? We don't want to lose you. :-( *DR",lizardbeth16 oh happenend want lose dr
neg,@@JulietteMaughan realising that I never received my copies of #Sensiesha :(,juliettemaughan realise never receive copy sensiesha
neg,"@nemuuunem they can't open the door so hard, I didn't notice that I already started a song on love live and I failed :-((",nemuuunem open door hard notice already start song love live fail
neg,@NaakiiChan my mum :(,naakiichan mum
pos,"""ngga usah dipikirin elah"" you can't easily say that to someone who's an entp :) the T is there for a reason",ngga usah dipikirin elah easily say someone entp reason
pos,"I just got the Five Night's at Freddy's 4 Demo and getting ready to record it, I'm super pumped for this as I'm a FNAF fanboy :D",get five night freddys 4 demo get ready record super pump fnaf fanboy
pos,@dunkindonutsnjh thank you lovely :D,dunkindonutsnjh thank lovely
pos,"Hi Emily I'm your fan,I wish you much happiness in your life,you're funny and beautiful
Happy Birthday :D @EmilyBett http://t.co/6wEXgsv7de",hi emily fani wish much happiness lifeyou funny beautiful happy birthday emilybett
pos,Amin :) https://t.co/1FOMQssXzk,amin
pos,Come fly with me baby! :) http://t.co/JjmrvobLZl #retweet #marine #navy #Airforce #battlefield,come fly baby retweet marine navy airforce battlefield
neg,"@vijaysrivatsan yeah, that's why 'last time'. They were planning to file police complaint. So much yelling. Can we switch places? :(",vijaysrivatsan yeah last time plan file police complaint much yell switch place
neg,@rikkixreid @rriiccaahh @Maeee_123 sorry na :((( next time pramis 😚,rikkixreid rriiccaahh maeee123 sorry na next time pramis 😚
neg,@JoshMight69Her ur in LA :(,joshmight69her ur la
pos,@LinnJennie :) HavuuuuuLoveYou♥uuuuuuuu:) http://t.co/FMGFgsl2uY,linnjennie havuuuuuloveyou♥uuuuuuuu
pos,"It's still so nice out right now, I 💜 it! :) :) :)",still nice right 💜
pos,Come and check out the new group I made on Facebook https://t.co/6Uu1cf109G for small channels wanting to be big #LetItGrow &lt;3 :),come check new group make facebook small channel want big letitgrow lt3
neg,i'm so bored!!! pleas can 1 Arianator talk to me? :(,bore plea 1 arianator talk
neg,@neelipar @ASOS95 not yet :( did they find yours eventually?,neelipar asos95 yet find eventually
neg,@THESCORCHCRANKS WHY DO YOU HAVE TO UNFOLLOW ME?:(,thescorchcranks unfollow
neg,I can't do it anymore. I can't have stress on my body yet my life is based upon stress I just can't do it :(,anymore stress body yet life base upon stress
neg,@jonathan_wolle Lucky :(,jonathanwolle lucky
neg,i wanna watch paper tOWNS :-((((,wan na watch paper town
neg,When fave unfollows :(😩💖 @itisfurny http://t.co/hoVQLoKtIg,fave unfollows 😩💖 itisfurny
neg,"@jhapaliMailo , some people :((
How r  u?",jhapalimailo people r u
neg,@zappygolucky OMG LOVE IT TY ZAP :((((((,zappygolucky omg love ty zap
pos,@MariaGM350 Just gonna throw idea at you cause if they're bad it will inspire you to think of something much better.  :-),mariagm350 gon na throw idea cause bad inspire think something much well
pos,@imynnx done yun :),imynnx do yun
neg,"Dude, I won't even go watch it :(  https://t.co/6BItjMbEtX",dude even go watch
neg,@vinrana1986 We Indian fans really miSS UU dear do uu MiSS us :((((,vinrana1986 indian fan really miss uu dear uu miss u
neg,"""@hallarkd: @haxllaark @hallahup_ @pxleehalla @hallakuma @hallashi guys :( http://t.co/gXI974Xj63""saoloh -_-",hallarkd haxllaark hallahup pxleehalla hallakuma hallashi guy
pos,@Barrastinian @chunkymark they would call it the Anti-Christ m8 :D,barrastinian chunkymark would call antichrist m8
neg,i miss someone :(,miss someone
neg,i hope Shamuon's doing all right in Tokyo. :(((,hope shamuons right tokyo
pos,Hi happys!!:) http://t.co/AGiLlxJdbi,hi happys
pos,@EmilyBett Happy Happy Birthday Emily! :D,emilybett happy happy birthday emily
neg,"“@Johnny_Spacey: @Mandi_Tinker yes, very inconsiderate of them. :(” why???",johnnyspacey manditinker yes inconsiderate
neg,@_cigarella :( ion wanna hear that,cigarella ion wan na hear
pos,@mediatemple I'd love you to add my @mediatemple hosted site to your blog :) Please. All about my drone videos etc http://t.co/R6B1MIutgJ,mediatemple would love add mediatemple host site blog please drone video etc
neg,@lydiamoo My sister's wedding is tomorrow but then we're going to Hong Kong &amp; I don't leave until the 31st. Then another horrific flight :(,lydiamoo sister wed tomorrow go hong kong amp leave 31st another horrific flight
pos,"@MangleTheLover Hey, You like FNaF? Check out our Youtube Channel! https://t.co/sc9kDhaviX :) via http://t.co/J3sxzzg7cU",manglethelover hey like fnaf check youtube channel via
pos,@Blessings2050 Thanks for your contribution and kind comment! :-),blessings2050 thanks contribution kind comment
pos,"@uptownctw P£T£, Heiya, visit my site if u wanna grab a FREE 30.000 8 Ball Pool Coins. Thank you :)",uptownctw p£t£ heiya visit site u wan na grab free 30000 8 ball pool coin thank
pos,@write2kill Ha ha :-) I guess I was being polite.,write2kill ha ha guess polite
pos,playing Dota 2 :D,play dota 2
pos,i have really good luck :),really good luck
pos,@stylesrose94 thanks :),stylesrose94 thanks
pos,i hope nate notice my edit since i made it my icon &gt;.&lt; :),hope nate notice edit since make icon gtlt
pos,"""Hey I think I'm gonna have an asthma attack I don't have my inhaler"" 

""omg r u gonna be ok???"" 

""Yeah u just took my breathe away :)""",hey think gon na asthma attack inhaler omg r u gon na ok yeah u take breathe away
pos,@taprichai ah. Ok. I was wondering :) :*,taprichai ah ok wonder
neg,"@abhic4ever Terrible, just terrible. :(",abhic4ever terrible terrible
pos,@dk_mok Awwww thanks :-) @GalactiChat,dkmok awwww thanks galactichat
neg,I wanna go to the movies today but no one is down :(,wan na go movie today one
neg,@JayMcGuiness i want to meet you :(,jaymcguiness want meet
pos,brb going somewhere im forced to go :-),brb go somewhere im force go
neg,'Working from home' normally means 'surfing' but not in this case :(,work home normally mean surfing case
neg,@laurenecurrann snakes on you??:(,laurenecurrann snake
pos,"@tracysharpy3 @Debbeedale Thank you for coming ladies, so lovely to see you both :) We don't know either!!",tracysharpy3 debbeedale thank come lady lovely see know either
pos,Might be the biggest move I've made in my life if it works out. :),might big move make life work
neg,@roguetatt :( i love you,roguetatt love
neg,these JMU camps are such a tease bc I just wanna be here now :(,jmu camp tease bc wan na
neg,Short weekend ahead :(,short weekend ahead
neg,the internet is being a total bitch : (,internet total bitch
pos,can I just meet harry that's all I need in life :-),meet harry need life
pos,@Ktens Usually just a high stool with three kids waiting for me to topple over. :D @Rekhakakkar @vindee,ktens usually high stool three kid wait topple rekhakakkar vindee
pos,@IBePyari follow back :),ibepyari follow back
neg,@AlexBarnes96 give me your Skype name my FaceTime doesn't work :(,alexbarnes96 give skype name facetime work
pos,@crinklysmilelou thank you! :D,crinklysmilelou thank
pos,But if i ever let you down. forgive me :),ever let forgive
neg,And now I can't sleep and I have to be at work in 6 1/2 hours. :(,sleep work 6 12 hour
neg,@TheChelseaTalk gutted you're one of the few people I won't be able to finally meet :(,thechelseatalk gutted one people able finally meet
pos,"#TY ""@dean0133: Appreciate your recent Retweets @SaracenConsult @joeodiete1 @Gelatiscoop have a great Friday :)""",ty dean0133 appreciate recent retweets saracenconsult joeodiete1 gelatiscoop great friday
neg,GUYS add my KIK - opixer805 #kik #kikme #talk #lesbian #oralsex #video #sexual :( http://t.co/rQwzb7W9bp,guy add kik opixer805 kik kikme talk lesbian oralsex video sexual
neg,Food poisoning again! :((((,food poisoning
pos,"@natsu1725 @AdeccoWaytoWork 
Went to Tokyo station for dinner :) 
its good to see someone from Kansai area !
#KunoriforCEO #CEO1Month",natsu1725 adeccowaytowork go tokyo station dinner good see someone kansai area kunoriforceo ceo1month
