label,text,clean_text,len_before_chars,len_after_chars
pos,@jonathanhobbs71 Have you encouraged your employer on board (http://t.co/sczAWaxEW0) or stuck a poster up (http://t.co/J024E6Dwvk)? :),jonathanhobbs71 encourage employer board httptcosczawaxew0 stick poster httptcoj024e6dwvk,134,89
pos,no thanks ah :))) https://t.co/53Y8kOT4Rm,thanks ah httpstco53y8kot4rm,41,28
pos,"@_Rossaholic thank you, Donna! 😊 it was uneventful but fine. :)",rossaholic thank donna 😊 uneventful fine,63,40
neg,I had a dream i went to college and failed as an animator :( :( :(:'(,dream go college fail animator,69,30
pos,@adnanCad Planted people are allowed to do any thing and every thing :p,adnancad plant people allow thing every thing p,71,47
pos,":)
-Latmon
https://t.co/bycJFFA1sg http://t.co/ITjN5MwDJf",latmon httpstcobycjffa1sg httptcoitjn5mwdjf,57,43
pos,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @e1d4c8e25ec844c,hello get youth job opportunity follow gtgt tolajobjobs e1d4c8e25ec844c,82,71
pos,My phone isn't charging it's been at 1% forever :))),phone isnt charge 1 forever,52,27
pos,"@velvetpIant It's NEVER a bad time for a bath, if you have us Rubber Ducks with you! :-) #quacketyquack",velvetpiant never bad time bath u rubber duck quacketyquack,103,59
neg,i want that bandana and bottle set huhuh :((,want bandana bottle set huhuh,44,29
neg,Now I want a hot dog :(,want hot dog,23,12
neg,@neon27164907 i left :(,neon27164907 leave,23,18
pos,"@eonnicchi ah thank you, she has a reason to do it right? :)",eonnicchi ah thank reason right,60,31
neg,@hugeboysmh YA! YA SONG MINO! WHERE ARE YOU? :(,hugeboysmh ya ya song mino,47,26
neg,@swiftstruelove :( let me speak *struggles*,swiftstruelove let speak struggle,43,33
neg,So cute :(,cute,10,4
neg,@Louis_Tomlinson school start next Monday ohgod :(,louistomlinson school start next monday ohgod,50,45
pos,@MCunleashed :D I can't sleep until I need to. If I try I just lay in bed bored,mcunleashed cant sleep need try lay bed bore,79,44
pos,MY kik : denerivery506 #kik #kiksexting #FaceTime #kikmenow #talk #housemusic #kikkomansabor :) http://t.co/T6lOMDaFCz,kik denerivery506 kik kiksexting facetime kikmenow talk housemusic kikkomansabor httptcot6lomdafcz,118,98
pos,like back :) — Done 😊 http://t.co/DTcpMEE0mD,like back do 😊 httptcodtcpmee0md,44,32
neg,@JayMcGuiness @JayMcGuiness :-( please notice mef,jaymcguiness jaymcguiness please notice mef,49,43
pos,@thespringsteens looks like great fun! :),thespringsteens look like great fun,41,35
neg,I'm so sick aahhhh i hate this feeling :-(,im sick aahhhh hate feeling,42,27
pos,Have a nice day queen! :) @esthercarodan,nice day queen esthercarodan,40,28
pos,@QueenBiankee hehe :-) (Smiling from ear to ear- ME) :-D,queenbiankee hehe smile ear ear,56,31
neg,I tried to sleep but I noticed my picky finger started to swell up and :( ugh omg,tried sleep notice picky finger start swell ugh omg,81,51
neg,Well summers over then :( knew it wouldn't last we do live in Britain ☺️😂😁 http://t.co/GKFgw0Khy6,well summer know wouldnt last live britain ☺️😂😁 httptcogkfgw0khy6,97,65
pos,"@kevens, thank's for the follow Kevens :)",kevens thanks follow kevens,41,27
neg,#Rohingya #Muslims 72 indicted on human trafficking charges in Thailand - Asia - Around t... http://t.co/VWSLChONfd #SaveTheRohingya :-(,rohingya muslims 72 indicted human trafficking charge thailand asia around httptcovwslchonfd savetherohingya,136,108
pos,@TheGoFever @AzharSaleem59 awww thanks guys!! Wishing you both a wicked weekend :) Travel safe! X,thegofever azharsaleem59 awww thanks guy wish wicked weekend travel safe x,97,74
pos,"Kangin Oppa :)
My #TeenChoice for #ChoiceInternationalArtist is #SuperJunior!",kangin oppa teenchoice choiceinternationalartist superjunior,77,60
neg,"@JaydnNeal1 Aw bless you, this made me smile! I'm missing you too :(",jaydnneal1 aw bless make smile im miss,68,38
neg,Don't have that one :( @Ifrahbreezy @missmbuga Perhaps something else? 87.7 #2fm,dont one ifrahbreezy missmbuga perhaps something else 877 2fm,80,61
neg,@RealTurkeyLady 9/11 kinda ruined it for me. The sound makes me brace myself for hearing the plane crash every time. No bueno. :(,realturkeylady 911 kinda ruin sound make brace hear plane crash every time bueno,129,80
neg,Moviee Buddyyyy :(,moviee buddyyyy,18,15
neg,Oh god!!! I'm strucked by the pain... Cant take it anymore!!! :(,oh god im strucked pain cant take anymore,64,41
neg,"When a guy buys u a water, but u can't drink it because u didn't watch the cup like a hawk as he transferred it from the bartender to u :(",guy buy u water u cant drink u didnt watch cup like hawk transfer bartender u,138,77
neg,Good bye stage :((((,good bye stage,20,14
pos,"Your love, O Lord, is better than life. :) &lt;3 https://t.co/KPCeYJqKLM",love lord well life lt3 httpstcokpceyjqklm,72,42
neg,@adoringpreston someone unfaved :((,adoringpreston someone unfaved,35,30
pos,alright &amp; last winner will be @bizzleftdemi :) dm me ur email,alright amp last winner bizzleftdemi dm ur email,65,48
pos,Really hissing down here overnight and this morning. Am hoping for the 11am Cornish all-clear :) https://t.co/Nh7A1vl10j,really hiss overnight morning hop 11am cornish allclear httpstconh7a1vl10j,120,74
pos,@daniameows i hope one day he'll fall in love with a strong woman to let him see all the things that he refuses to see now. :),daniameows hope one day hell fall love strong woman let see thing refuse see,126,76
pos,@Iron_Vein Morning! : ) Mine is 1100D. Usually auto-focus. I only use manual for  really close up like shooting veins on crackle glaze. :),ironvein morning mine 1100d usually autofocus use manual really close like shoot vein crackle glaze,138,99
pos,@myabumygod @ianadritaranbir Maine Abhi tak Ye movie nhi dekhi but promos se hi i knew that it's his best movie till date :),myabumygod ianadritaranbir maine abhi tak ye movie nhi dekhi promos se hi know best movie till date,124,99
pos,@booogley because you're breaking out of your shell :-),booogley youre break shell,55,26
neg,@leesasana @Francesca092391 tried tweeting UNICEF's accounts but no answer from them :(,leesasana francesca092391 try tweet unicefs account answer,87,58
neg,what happen to the kaussies? :(,happen kaussies,31,15
pos,Waiting for HQ pic from today to add on to my YoonA x Hairpin = OTP collection :D http://t.co/cGGzwDM6dG,wait hq pic today add yoona x hairpin otp collection httptcocggzwdm6dg,104,70
pos,@CFCDianaMonkey brilliant thanks for all the advice :-),cfcdianamonkey brilliant thanks advice,55,38
neg,@hancoverdalexo aww :( thanks anyway!!,hancoverdalexo aww thanks anyway,38,32
neg,@heartissoJEDlag i have kwento :( fbc,heartissojedlag kwento fbc,37,26
neg,"@burloutray4 I want something new too, damn you bills!! :(",burloutray4 want something new damn bill,58,40
pos,#FF #HappyFriday @SageVatic  @marchicristian @bounceroriginal @BeenFingered @Dj_Mando_Off have a great #Friday :-),ff happyfriday sagevatic marchicristian bounceroriginal beenfingered djmandooff great friday,114,92
pos,Thank you @platform4prose :),thank platform4prose,28,20
neg,I don't want to be in a world where Hulk Hogan has been scrubbed from WWE history :-(,dont want world hulk hogan scrub wwe history,85,44
neg,@NinaSarto pm me :(,ninasarto pm,19,12
neg,"Yeah dudes, keep calm and brace yourselves :-( https://t.co/ZnOjT3v9Gq",yeah dude keep calm brace httpstcoznojt3v9gq,70,44
neg,I need relax.:-( ...#lungomare #Pesaro #giachietittiwedding #igersoftheday #summertime #summer… https://t.co/IHFceHoxl3,need relax lungomare pesaro giachietittiwedding igersoftheday summertime summer httpstcoihfcehoxl3,119,98
pos,"Just finished Bill and Ted's Excellent Adventure, now onto Bogus Journey :D",finish bill teds excellent adventure onto bogus journey,75,55
neg,@zaynmalik are u coming back? :(,zaynmalik u come back,32,21
neg,@lucyreesxo She threatened me :(,lucyreesxo threaten,32,19
pos,@Gardener_John Ah. Keep goin sweety! :-) :-) big hugs!x,gardenerjohn ah keep goin sweety big hugsx,55,42
neg,Woohyun seems weird on inspirit shining night... :( im not ised to seeing him like this........ what happened :/,woohyun seem weird inspirit shin night im ised see like happen,112,62
neg,i miss them already :(,miss already,22,12
pos,made some stuff tonight for a streamer :) it felt really nice getting the creative juices flowing again. havent done that in a while,make stuff tonight streamer felt really nice get creative juice flow havent do,132,78
neg,@laylaharden The Icarus 500 awning unfortunately won't fit the 600 size :(,laylaharden icarus 500 awning unfortunately wont fit 600 size,74,61
pos,"Hhahahahaha!!!!!!!! Just blew upp the entire The las Vegas strip!!!!!!!!!! :D :D :D :D Fuck Youuuuuuu, VEGAS!!!! hahahaHahhaha",hhahahahaha blow upp entire la vega strip fuck youuuuuuu vega hahahahahhaha,126,75
neg,school starts pretty soon :(,school start pretty soon,28,24
neg,"@HaticeBieberr FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",haticebieberr follow thanks justinbieber please follow,78,54
neg,When there's  free Wifi networks available but they ain within range :(,there free wifi network available within range,71,46
pos,"@PublicProtector :) True Education is the most powerful weapon which you can use to change the world,""Nelson Mandela",publicprotector true education powerful weapon use change worldnelson mandela,116,77
neg,Starts raining just as soon as I'm ready for a run :( damn it,start rain soon im ready run damn,61,33
neg,"@Glanny_ @soL_Lyah @_wattie I told him to suicide and kill both of you, but you ran away forever :(",glanny sollyah wattie tell suicide kill run away forever,99,56
pos,"@UmmJihad1 funny how you use ""kuffar"" computers, cell phones and social media to spread your diarrhea though. Immigrant lice :D",ummjihad1 funny use kuffar computer cell phone social medium spread diarrhea though immigrant louse,127,99
neg,@moontwink one of the best couples :(,moontwink one best couple,37,25
pos,@mcllary That might work :) Have a great weekend. \OP,mcllary might work great weekend op,53,35
neg,@seiyaharris that sucks :(,seiyaharris suck,26,16
pos,"@Tabinda_Samar the most funny aspect was Najam sethi`s confession ad still...  "":D",tabindasamar funny aspect najam sethis confession ad still,82,58
pos,only I would drop 10 wine bottles &amp; spill some of the wine all over myself @ work :-),would drop 10 wine bottle amp spill wine work,89,45
neg,"@elyusia i can find most major people EXCEPT his VA

i'm not sure if they just kept it same as luminous but they didn't do that in kms &gt;:(",elyusia find major people except va im sure keep luminous didnt km gt,141,69
neg,I just wanna go to your house rn and give you a big big hug. :(((,wan na go house rn give big big hug,65,35
neg,@admirablehes94 me too.. :( Ohh. I need him,admirablehes94 ohh need,43,23
pos,http://t.co/a5rmka5axn thanks for following!! Enjoy my tweets! :) lets be friends! _gta_giveaway 624 179,httptcoa5rmka5axn thanks follow enjoy tweet let friend gtagiveaway 624 179,104,74
neg,"I can't believe that I got home, to find out that my brother is in jail, &amp; is getting sent to county tomorrow like wtf! This isn't fair :(",cant believe get home find brother jail amp get sent county tomorrow like wtf isnt fair,142,87
neg,I need my boyfriend rn but he won't answer my callllllls :(,need boyfriend rn wont answer callllllls,59,40
pos,@PiperDonut thanks haha but i only tell the truth to you :):):),piperdonut thanks haha tell truth,63,33
neg,Long distance :( Why? 💔,long distance 💔,23,15
neg,@churlishmeg Hi Meg. Just sent you an email about Verity's performances being cancelled this weekend. :( Rupert,churlishmeg hi meg send email verity performance cancel weekend rupert,111,70
pos,And the vacation is not over yet. Berangkaat lagiii :D,vacation yet berangkaat lagiii,54,30
neg,@_irwinstagram I'll give you Liam solo DM for Dylan :(( pls?:(,irwinstagram ill give liam solo dm dylan pls,62,44
neg,@mikecom17 Oh that's not good Linda :( Have you tried clicking on the option to change the pin?,mikecom17 oh thats good linda try click option change pin,95,57
pos,@SisiphoMphoza Can't wait to see you there :-),sisiphomphoza cant wait see,46,27
neg,@charleybilton little charles all grown up :( remember when we dyed your hair and it went rihanna red hahahaha that aint no ginge xxx,charleybilton little charles grow remember dyed hair go rihanna red hahahaha aint ginge xxx,133,91
neg,@gotshinee yeahh :(( but it's so hard esp. they're not doing well on digital charts cries,gotshinee yeahh hard esp theyre well digital chart cry,89,54
pos,Those friends know themselves :),friend know,32,11
pos,@Galatasaray @Podolski10 is ready :) #Poldi #Cimbom,galatasaray podolski10 ready poldi cimbom,51,41
neg,"As RBI in making of caged parrot. 
1ly election commission, CAG r left, once d power is striped gujarat model will complete 
Very sad :(",rbi make cage parrot 1ly election commission cag r leave power strip gujarat model complete sad,136,95
neg,@CRIMINALMOX I LOVE THAT EPISODE BUT SKIP THE DOOMSDAY EPISODE PLEASE :((((,criminalmox love episode skip doomsday episode please,75,53
neg,In the middle of Soho and no ice cream! :(,middle soho ice cream,42,21
pos,#KianWeAreProud so proud of you :) love you so much 💜,kianweareproud proud love much 💜,53,32
neg,@buzybee78 :-( need to investigate more....,buzybee78 need investigate,43,26
neg,"@Rigan_s @HakubiRedwinter b-but, my favorite thing about gintama is the shinsengumi special chapters :(",rigans hakubiredwinter bbut favorite thing gintama shinsengumi special chapter,103,78
neg,@KirkHerbstreit Braxton should have gone pro! :(  I feel bad for him.  Urban is unprecedented in brainwashing (see Tebow and Alex Smith),kirkherbstreit braxton go pro feel bad urban unprecedented brainwash see tebow alex smith,136,89
neg,@Latoyasilmon omg...you're so beautiful... miss you soooooooo much...: (,latoyasilmon omgyoure beautiful miss soooooooo much,72,51
neg,Watching abusive relationship videos is so fucking hard. I'm trying not to cry but it's like... :(,watch abusive relationship video fuck hard im try cry like,98,58
pos,@TomParker Gorgeous!! Have fun y'all!! :),tomparker gorgeous fun yall,41,27
neg,finding old pictures with my long hair makes me so sad :(,find old picture long hair make sad,57,35
neg,@__onlynay xbsbabnb poor you :(,onlynay xbsbabnb poor,31,21
neg,Infinite im so sorry..i cant stream~~ :(,infinite im sorryi cant stream,40,30
neg,@The_Lie_Lama back to Delhi :(,thelielama back delhi,30,21
pos,@cpeluso wishing you a happy Friday :) xxx,cpeluso wish happy friday xxx,42,29
pos,@Woodgate @littlewok Enjoy :),woodgate littlewok enjoy,29,24
neg,@CallmeLexine Same Mommy :(,callmelexine mommy,27,18
neg,@danagold721 @PalladiumGravur @clementine_ford Yes youre right..and its sad that so many intolerant scared xenophobes are out there :-(,danagold721 palladiumgravur clementineford yes youre rightand sad many intolerant scar xenophobes,135,97
pos,Invite My pin 5878E503 :),invite pin 5878e503,25,19
pos,"@Formation_media We can't, it's going to be great :D",formationmedia cant go great,52,28
pos,"@Bluegirl200345 We're always here if you want to talk :)
~😊",bluegirl200345 always want talk 😊,59,33
neg,I genuinely keep having nightmares about results day Fam :(((((((((,genuinely keep nightmare result day fam,67,39
neg,@PatelPatelxx @Starbucks can suk ma buttttttt. except their pumpkin scones.... but they havent made those in years :(((,patelpatelxx starbucks suk buttttttt except pumpkin scone havent make year,119,74
pos,@Megalos_K I like your eyes :D,megalosk like eye,30,17
pos,Mine too :) https://t.co/jdumAxgzH0,mine httpstcojdumaxgzh0,35,23
neg,Alone :-( :'( :-\,alone,17,5
pos,"@sculptorfred Ha! I thought I had, so made sure I did! :)",sculptorfred ha think make sure,57,31
neg,"Not been to the gym all week, so I need a BIG personal push today to get me there tonight....i've been making excuses to myself. #Lazy :-(",gym week need big personal push today get tonightive making excuse lazy,138,71
pos,i unfollow back :),unfollow back,18,13
pos,@1031Genfmsby Visit my blog http://t.co/UzOAqroWKx thanks :D,1031genfmsby visit blog httptcouzoaqrowkx thanks,60,48
neg,I miss my circuit training during my secondary school days :(,miss circuit training secondary school day,61,42
pos,"A very productive day so far :) Happy Days...!!  :) :) but my head is spinning with things, those voices keep calling..!!! Lol 󾌴",productive day far happy day head spin thing voice keep call lol 󾌴,128,66
pos,Snapchat me : sexyjudy19 #snapchat #kikmeboys #tagsforlikes #pussy #gay #indiemusic #sexo :) http://t.co/aAK0phT3GE,snapchat sexyjudy19 snapchat kikmeboys tagsforlikes pussy gay indiemusic sexo httptcoaak0pht3ge,115,95
neg,#UberIceCream was super! But we didnt get the glares :( @Uber_Pune,ubericecream super didnt get glare uberpune,66,43
pos,"@TheSYLEPress @SciFiNow Great! I regret not getting a signed copy of #DeathOfGrass. John added ""thanks for loan of the lawnmower"" :-)",thesylepress scifinow great regret get sign copy deathofgrass john add thanks loan lawnmower,133,92
pos,"@Clareyh Yeah, it's a classy look :-). I've seen people attached to all sorts of 'life saving' equipment, some in beds,having their fix :-0)",clareyh yeah classy look ive see people attach sort life save equipment bedshaving fix 0,140,88
neg,Bale :(,bale,7,4
pos,@moonlight69 well you're in for a wild ride &gt;:D,moonlight69 well youre wild ride gtd,50,36
neg,"“@shakyra_cledera: ""paper town"" :--((((” sm :(((",shakyracledera paper town sm,48,28
neg,My poor noggin! Bumped it a few days ago and it still hurts a little. :( #feelslikeanidiot,poor noggin bump day ago still hurt little feelslikeanidiot,90,59
pos,@OfficialKeanu..Awesome! :),officialkeanuawesome,27,20
pos,@lucahollic good and you ? :),lucahollic good,29,15
neg,IM LISTENING TO EVERYTHING ABOUT YOU :((,im listen everything,40,20
neg,Good Lord. :( https://t.co/nC9LkYUUvO,good lord httpstconc9lkyuuvo,37,28
neg,@matty_lam @SkyFootball I'm not watching because I'm working :( but I'm not interested in man city anyway 😂 hope they lose,mattylam skyfootball im watch im work im interested man city anyway 😂 hope lose,122,79
pos,Thanks to everyone who came to the stream :D Hope you guys enjoyed. Night all!,thanks everyone come stream hope guy enjoy night,78,48
pos,@MusicMetrop @LostInMuzic @karenak @MosesMo @chrisdrunkpoets thanks for the shout out guys much appreciated :),musicmetrop lostinmuzic karenak mosesmo chrisdrunkpoets thanks shout guys much appreciate,110,89
neg,"@dargurl_serwiee Ok rich kid, I give up :(",dargurlserwiee ok rich kid give,42,31
neg,HP LOW DONG :((((((,hp low dong,19,11
pos,Off to the USA! Rosh and I on our travels again :) (@ Glasgow International Airport (GLA) - @gla_airport) https://t.co/FS71kc8FZe,usa rosh travel glasgow international airport gla glaairport httpstcofs71kc8fze,129,79
pos,@RookieSenpai @arcadester it is the id conflict thanks for the help :D here's the screenshot of it working,rookiesenpai arcadester id conflict thanks help here screenshot work,106,68
neg,no more of being 'high all the time' :((((((((((( this is v sad,high time v sad,63,15
pos,@Real_Liam_Payne :))) and zayn :))),realliampayne zayn,35,18
pos,@Nkour34Dil you're always welcome dear. .   :-) Good afternoon. ..:-),nkour34dil youre always welcome dear good afternoon,69,51
pos,@AlexCarranza21 I'm so sorry! I ran out with a friend after having a rough day. I'll try to stream on Saturday! :),alexcarranza21 im sorry run friend rough day ill try stream saturday,114,68
pos,@TheLuckyHand @neonblaze72 Back in 80s I wz pattern cutting/making &amp; buttonhole finishing 4my designer friend's famous clients :),theluckyhand neonblaze72 back 80 wz pattern cuttingmaking amp buttonhole finish 4my designer friend famous client,133,113
pos,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @maphisa301,hello get youth job opportunity follow gtgt tolajobjobs maphisa301,77,66
pos,@fouraroundworld thanks for sharing! Wishing you a wicked weekend :),fouraroundworld thanks share wish wicked weekend,68,48
pos,@DirtyJasen I shall do :D I shall shout it from the roof tops of social media :p,dirtyjasen shall shall shout roof top social medium p,80,53
neg,"@horan_lyra done, please me :(",horanlyra do please,30,19
pos,"@Derek_GTA Hi Derek, you could try using ParkShare in Gloucestershire http://t.co/qIF9AyAlkc :)",derekgta hi derek could try use parkshare gloucestershire httptcoqif9ayalkc,95,75
pos,"@ashleylynch @wetsprocket Ah, found it, thanks :)",ashleylynch wetsprocket ah find thanks,49,38
pos,Good morning! And happy Friday! :-) Thought I'd quickly say hello while my little pebble is engrossed in Bing... http://t.co/u73W4nOsjt,good morning happy friday think id quickly say hello little pebble engross bing httptcou73w4nosjt,135,97
pos,@97sides CONGRATS :),97sides congrats,20,16
pos,i'm going to sleep. i hope i wake up with a follow from luke hemmings someday :) goodnight fam ily and 5sos a lot 💟 http://t.co/YX0hTS3lXT,im go sleep hope wake follow luke hemmings someday goodnight fam ily 5sos lot 💟 httptcoyx0hts3lxt,138,97
neg,no one wants to go to ant man with me :(,one want go ant man,40,19
neg,Can i cry for real coz the bandana s so cute to match for my dress.:((,cry real coz bandana cute match dress,70,37
pos,just prettier :) and mine :),prettier mine,28,13
pos,@jet_cer  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),jetcer follow jnlazts amp httptcorcvcyyo0iq follow u back,71,57
neg,"Cant stand seeing my titos and titas cry :((((((( please pray for my cousin, he's in critical condition right now :(",cant stand see tito titas cry please pray cousin he critical condition right,116,76
neg,@camnstyles it is so confusing tho :(,camnstyles confuse tho,37,22
neg,&lt;3 &lt;3 awsme song &lt;3 :-* :-( :-( :'( http://t.co/IjVWwO32eO,lt3 lt3 awsme song lt3 httptcoijvwwo32eo,67,40
neg,"@Jime_JB21 FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",jimejb21 follow thanks justinbieber please follow,74,49
pos,duh emesh :p https://t.co/FtiAVocFll,duh emesh p httpstcoftiavocfll,36,30
pos,@chelsea_acker WHOOP WHOOP! :-) #quacketyquack http://t.co/Or9w6eqCiM,chelseaacker whoop whoop quacketyquack httptcoor9w6eqcim,69,56
neg,assignments :(,assignment,14,10
neg,2 people are dead :((((((,2 people dead,25,13
neg,That one person. Is still very important to me...and I don't want her gone any longer...yet I just sit here scared out of my mind. :(...,one person still important meand dont want go longeryet sit scar mind,136,69
neg,@annayeng sorna :((((,annayeng sorna,21,14
neg,@shabanadas @FatimaAli52 emotions make us human :(,shabanadas fatimaali52 emotion make u human,50,43
neg,@ColorsTV  this time jhalak is very boring. .. The concept is bakwas. .. old concept was much better and interesting. ... :-(:-(:-(,colorstv time jhalak bore concept bakwas old concept much well interest,131,71
neg,@mustntgrumble I hadn't thought of an icepack. Big doses of pain killers on board. But it is feeling very very painful already :( *whimpers*,mustntgrumble hadnt think icepack big dos pain killer board feel painful already whimper,140,88
pos,@RolfeW Thanks for the follow back! :),rolfew thanks follow back,38,25
pos,mum's home.... HAHAHHAAH thank you lord :),mum home hahahhaah thank lord,42,29
pos,"tessnzach//
cute account :)!!!",tessnzach cute account,30,22
pos,@JYGClub thanks admin :),jygclub thanks admin,24,20
neg,i miss u bigtime!!!... :(,miss u bigtime,25,14
pos,@wishm4ster it says my bday :))))),wishm4ster say bday,34,19
pos,@drewharley67 @GerardButler You're so right about that! :-),drewharley67 gerardbutler youre right,59,37
neg,i lost my 3.4k :(,lose 34k,17,8
neg,@irlfaker all nighter :(,irlfaker nighter,24,16
neg,my bro choose takraw over me :(,bro choose takraw,31,17
pos,@MrsManfyDiston Thanks for following! Do get in touch if you'd like any more info about our project: youth@bipolaruk.org.uk :),mrsmanfydiston thanks follow get touch youd like info project youthbipolarukorguk,126,81
pos,I AM SO SORRY FUCKING ERIC THINKS HES FUNNY :),sorry fuck eric think he funny,46,30
pos,@Komal_Indian @SocialitePanda #ब doesn't matter. Jungle can accommodate both :-),komalindian socialitepanda ब doesnt matter jungle accommodate,80,61
pos,Home from vacation!:),home vacation,21,13
pos,"Leggete qui per la chat Larry :)
-Mar http://t.co/gEj5b3qPqS",leggete qui per la chat larry mar httptcogej5b3qpqs,60,51
pos,#FF to @TashaFairybro @dorkfaceblog @BeckyBedbug @SaidByAlisha @_OliviaJadexo @UnderToWonder @fineanddandy &lt;3 these ladies! :),ff tashafairybro dorkfaceblog beckybedbug saidbyalisha oliviajadexo undertowonder fineanddandy lt3 lady,129,103
pos,I have not been this happy for such a long time :),happy long time,50,15
neg,@lightmytorch I'm not there anymore!! Would have signed if I saw you! :( thank you for coming,lightmytorch im anymore would sign saw thank come,93,49
pos,"@AtushaAvarus..Yes, we all do sometimes. It will pass :)",atushaavarusyes sometimes pass,56,30
neg,@98_madhvi_tommo  it apparently isnt :(,98madhvitommo apparently isnt,39,29
pos,@Inugamikun Wub Cerbchan? :D,inugamikun wub cerbchan,28,23
neg,Help God :(,help god,11,8
neg,This rain :(,rain,12,4
pos,.@kitchtablepro here's that selfie Tara! Thanks again for another great event . . . #HappyFriday #ff :) http://t.co/a4zUxwEsV7,kitchtablepro here selfie tara thanks another great event happyfriday ff httptcoa4zuxwesv7,126,90
pos,@KingCuh happy birthday bro :) have a good one,kingcuh happy birthday bro good one,46,35
pos,Feel free to share with others.  :-) http://t.co/c2W7znBQ0P,feel free share others httptcoc2w7znbq0p,59,40
neg,"If anybody around Penrith/Emu Plains sees her (she's giant and hard to miss) please let me know
Very important :( http://t.co/zQh19Rl1t2",anybody around penrithemu plain see shes giant hard miss please let know important httptcozqh19rl1t2,136,100
neg,@diegxdelrey is this on ur computer? mine did it too :(,diegxdelrey ur computer mine,55,28
pos,wow luxord looks really amazing here in his new kingdom hearts 3 promo art !! :) http://t.co/FFJU1rlJpC,wow luxord look really amazing new kingdom heart 3 promo art httptcoffju1rljpc,103,78
neg,I hate how they didn't have their first win yet :((,hate didnt first win yet,51,24
neg,"@Lill_Hippie FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",lillhippie follow thanks justinbieber please follow,76,51
neg,@beamiller I can't listen to your new album on youtube because it's blocked in my country :(,beamiller cant listen new album youtube block country,92,53
neg,we lost at the album and broadcast :((((,lose album broadcast,40,20
neg,@junghoseoks 5s :( i think it's bc im running out of space tbh,junghoseoks 5 think bc im run space tbh,62,39
pos,@bjoernknafla @s_whiteant that’s EXACTLY the look I’m going for :D,bjoernknafla swhiteant thats exactly look im go,66,47
neg,@jehyop is there any other way for me to get the bandana?:((,jehyop way get bandana,60,22
pos,"Common - Celebrate, never fails to get me in a good mood :)",common celebrate never fail get good mood,59,41
pos,@amy14_x @AstonMerrygold will do :D it's mainly my mother who wants it right now haha the others can wait they said 😂 x,amy14x astonmerrygold mainly mother want right haha others wait say 😂 x,119,71
pos,"Unreal training boys!
Awesome work Zaine, Zac and Isaac! :)
Oss! http://t.co/jisayDDWve",unreal training boys awesome work zaine zac isaac os httptcojisayddwve,87,70
neg,"@joinerslive did you by any chance find a black guinness wallet in the venue last night after the show? Lost my wallet :( :( :(
Thank you!",joinerslive chance find black guinness wallet venue last night show lose wallet thank,138,85
pos,@Miss_Dyna_Mite yaaaaayyyyyy you are my best friendaaaaaaa *shouts like minions* :),missdynamite yaaaaayyyyyy best friendaaaaaaa shout like minion,83,62
pos,Yeeeeah ! :D …,yeeeeah,14,7
neg,@b_lurryface i wish it was london :( gonna stay at the airport for a bit and then go into the city,blurryface wish london gon na stay airport bit go city,98,54
neg,So hard to find an organisation that we're satisfied with :(,hard find organisation satisfy,60,30
pos,@_ridabot let's talk about setokido :D,ridabot let talk setokido,38,25
neg,@bdunkelman doin ok? :(,bdunkelman doin ok,23,18
pos,20 ghanton se light nahi :)))))),20 ghanton se light nahi,32,24
pos,"@spreecoza Awesome, thanks so much for helping me :)",spreecoza awesome thanks much help,52,34
pos,"@lovingjeonboram I really like their interaction. How Sunny offers her help to her dongsaeng, Chorong. And the friendship among idols. :)",lovingjeonboram really like interaction sunny offer help dongsaeng chorong friendship among idol,137,96
pos,@steer_michael Dare you to run in the corridor :-),steermichael dare run corridor,50,30
neg,@beckparsons1 no im on a 24 hour sleep on sunday :( xx,beckparsons1 im 24 hour sleep sunday xx,54,39
pos,"Who does the cheapest printing in the world? Looking for a regular printer in countries close to NZ or Ireland, or drop ship printers :)",cheap printing world look regular printer country close nz ireland drop ship printer,136,84
pos,@ShutUpBrickLP if only there was uhc in a box on a large scale on one of those network servers :p,shutupbricklp uhc box large scale one network server p,97,54
neg,@valentinalmao @mgchalsey ahh im sorry i didnt reply back :( i miss you too!! also i wouldve tweeted u on that acc but ive been having,valentinalmao mgchalsey ahh im sorry didnt reply back miss also wouldve tweet u acc ive,134,87
pos,"It is funny, that the next anime that had it, was Umaru :D",funny next anime umaru,58,22
neg,@goodissachuntin Smh I know :(,goodissachuntin smh know,30,24
pos,"@readcreatelove Great to hear you had such a nice day, thanks for visiting :)",readcreatelove great hear nice day thanks visit,77,47
pos,@shraddhaa9 btw will you remember... :),shraddhaa9 btw remember,39,23
neg,72 and counting.  :( http://t.co/9xWKegCy6W,72 counting httptco9xwkegcy6w,43,29
neg,"@DADDYNAMJ00N @bbydesu No~ I mean, that @bbydesu hmm, omg Im so slow :(",daddynamj00n bbydesu mean bbydesu hmm omg im slow,71,49
